model,role,rq,condition,n,jitter_iqr_s,jitter_std_s,p_gt_0_050,p_gt_0_050_ci_low,p_gt_0_050_ci_high,p_gt_0_100,p_gt_0_100_ci_low,p_gt_0_100_ci_high,p_gt_0_200,p_gt_0_200_ci_low,p_gt_0_200_ci_high,p_gt_0_500,p_gt_0_500_ci_low,p_gt_0_500_ci_high,p_gt_1_000,p_gt_1_000_ci_low,p_gt_1_000_ci_high,availability,throughput_decisions_per_s,goodput_correct_per_s,sla_violation_rate,rq4_false_admission_rate,rq4_false_blocking_rate,request_bytes_median,response_bytes_median,input_tokens_median,output_tokens_median,energy_j_per_decision,energy_j_per_correct_decision,idle_power_w,energy_j_per_decision_above_idle,flag_low_power_samples,flag_valid_lt_50
Jev-1.13.0,main,RQ1a,base,300,0.06562745803967118,0.06608904598014469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013333333333333334,0.0033333333333333335,0.02666666666666667,0.0,0.0,0.0,1.0,3.4667821594105295,3.258775229845898,0.0,,,186.5,728.0,815.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1a,base,300,0.07102998974733055,0.7475706085230639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13666666666666666,0.09666666666666666,0.17666666666666667,0.05333333333333334,0.03,0.08,1.0,1.8704799513135217,1.8517751518003867,0.0033333333333333335,,,186.5,928.0,247.0,26.0,,,,,,False
GLM-5.3-Flash,main,RQ1a,base,300,0.293409624369815,0.9060173670778773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9266666666666666,0.8966666666666666,0.9533333333333334,0.19,0.14666666666666667,0.23333333333333334,1.0,1.0544860721916542,1.0404262578957655,0.006666666666666667,,,186.5,1118.0,248.0,36.0,,,,,,False
Qwen3.8-Flash,main,RQ1a,base,300,0.9018506139982492,0.9608075605948219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.48194896394330217,0.4626710053855701,0.0033333333333333335,,,186.5,929.0,254.0,30.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1a,base,300,0.001009996049106121,0.05780018217775441,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.16333333333333333,0.12333333333333334,0.20666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.783409733736691,4.341382229591482,0.08,,,186.5,1031.0,589.0,0.0,23.678595501391094,36.99780547092359,97.69,9.274856332651776,False,False
Laya,main,RQ1a,base,300,0.0009294297778978944,0.054221454894331,1.0,1.0,1.0,0.16666666666666666,0.12666666666666668,0.21,0.06666666666666667,0.04,0.09666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.736421862088621,1.4010064048297484,0.14333333333333334,,,186.5,849.0,nan,0.0,8.380893167968592,76.18993789062355,92.77,1.1377207712213204,False,False
Qwen3.5-4B-JSON,reference,RQ1a,base,300,0.04821027850266546,0.14628689371976078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013333333333333334,0.0033333333333333335,0.02666666666666667,1.0,1.2590599679085397,0.6043487845960991,0.05333333333333334,,,186.5,511.0,252.0,30.0,127.18634503382843,264.9715521538092,108.935,40.64220800270638,False,False
Rule,reference,RQ1a,base,300,1.0728836059570312e-05,2.3042918007725864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50070.32782966151,3338.021855310767,0.88,,,186.5,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1a,pad_512,300,0.05578078189864755,0.06954633996539257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013333333333333334,0.0033333333333333335,0.02666666666666667,0.0033333333333333335,0.0,0.01,1.0,3.4602213066024334,3.194937673096247,0.01,,,1395.0,736.0,1448.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_512,300,0.10859230323694646,0.4129981543686357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.4533333333333333,0.5666666666666667,0.03333333333333333,0.013333333333333334,0.05333333333333334,1.0,1.7298248594393355,1.6836961965209534,0.006666666666666667,,,1395.0,929.0,751.0,25.0,,,,,,False
GLM-5.3-Flash,main,RQ1a,pad_512,300,0.2549335518851876,1.4763827244199281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18666666666666668,0.14333333333333334,0.23,1.0,0.9302278416678939,0.9054217658900833,0.016666666666666666,,,1395.0,930.0,745.0,26.0,,,,,,False
Qwen3.8-Flash,main,RQ1a,pad_512,300,0.9228330519981682,1.1606194085654027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.9966666666666667,0.4913538841058643,0.4733375750219826,0.0033333333333333335,,,1395.0,932.0,870.0,36.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_512,300,0.0019796208944171667,0.03748766787884726,1.0,1.0,1.0,1.0,1.0,1.0,0.11333333333333333,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.992453640951598,3.0067550656091875,0.30666666666666664,,,1395.0,1032.0,1206.0,0.0,30.890076777184017,71.83738785391631,97.69,16.937014084637173,False,False
Laya,main,RQ1a,pad_512,300,0.001982009969651699,0.027955554503523272,1.0,1.0,1.0,0.07666666666666666,0.04666666666666667,0.10666666666666667,0.0033333333333333335,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.361446736875592,0.14361446736875594,0.30666666666666664,,,1395.0,851.0,nan,0.0,11.629906201728186,1162.9906201728186,92.77,5.25506103211244,False,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_512,300,0.0669492157176137,0.11042945389727277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023333333333333334,0.006666666666666667,0.04,1.0,1.2898897125416118,0.5331544145171995,0.056666666666666664,,,1395.0,511.0,868.0,30.0,130.5174467607379,315.76801635662395,108.935,46.02128776770831,False,False
Rule,reference,RQ1a,pad_512,300,5.6344084441661835e-05,3.449497068789591e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11612.814660554257,774.1876440369505,0.88,,,1395.0,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1a,pad_2048,300,0.05350518855266273,0.07619931298839133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.0033333333333333335,0.03333333333333333,0.0033333333333333335,0.0,0.01,1.0,3.3147177568666795,3.0384912771277897,0.01,,,5297.0,738.0,3504.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_2048,300,0.16145541635341942,2.2928773873734984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7566666666666667,0.7066666666666667,0.8033333333333333,0.06333333333333334,0.03666666666666667,0.09333333333333334,1.0,1.0901534680893137,1.0610827089402655,0.0033333333333333335,,,5297.0,934.0,2388.0,25.0,,,,,,False
GLM-5.3-Flash,main,RQ1a,pad_2048,300,0.27156797843053937,0.6637826236215417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20666666666666667,0.16325000000000006,0.25333333333333335,1.0,1.0392779371287995,1.0080995990149353,0.016666666666666666,,,5297.0,931.5,2360.5,26.0,,,,,,False
Qwen3.8-Flash,main,RQ1a,pad_2048,300,0.351610406069085,0.5573844471724906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5758648488865288,0.558588903419933,0.0,,,5297.0,942.0,2869.0,40.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_2048,300,0.0010622795671224594,0.054783296041528096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,0.0,0.0,0.0,1.0,4.357104874014716,1.9171261445664753,0.32666666666666666,,,5297.0,1032.0,3205.0,0.0,61.57620412441492,139.94591846457936,97.69,39.242967555058,False,False
Laya,main,RQ1a,pad_2048,300,0.0009466272313147783,0.0014261485492571215,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.680743152586269,0.18240990870115026,0.5066666666666667,,,5297.0,852.0,nan,0.0,14.382543977808952,1078.6907983356714,92.77,7.636618793447812,False,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_2048,300,0.03051495586987585,0.16042193386587575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.02666666666666667,0.07666666666666666,1.0,1.142647159101288,0.33898532386671537,0.07666666666666666,,,5297.0,513.0,2867.0,31.0,161.9710691328446,545.9698959534088,108.935,66.53202630292972,False,False
Rule,reference,RQ1a,pad_2048,300,0.0002328443806618452,0.00011558488587276079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3283.4797556450667,218.8986503763378,0.88,,,5297.0,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1a,pad_8192,300,0.07229798985645175,0.17761170448650943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07666666666666666,0.04666666666666667,0.10666666666666667,0.006666666666666667,0.0,0.016666666666666666,1.0,2.6433532572787675,2.4054514641236784,0.016666666666666666,,,20926.5,739.0,11738.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_8192,300,0.11620213510468602,0.15158552978952558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6133333333333333,0.5566666666666666,0.67,0.02,0.006666666666666667,0.03666666666666667,1.0,1.7761449280300488,1.7347015463760145,0.0033333333333333335,,,20926.5,933.0,8932.0,25.0,,,,,,False
GLM-5.3-Flash,main,RQ1a,pad_8192,300,0.47464645793661475,3.9569516745982996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6633333333333333,0.6066666666666667,0.7166666666666667,0.9933333333333333,0.4750454839619844,0.4512932097638852,0.03,,,20926.5,934.0,8822.0,26.0,,,,,,False
Qwen3.8-Flash,main,RQ1a,pad_8192,300,0.6828978958074003,1.1960670375389595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36764422686514747,0.2806350931737292,0.21333333333333335,,,20926.5,945.0,10872.0,38.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_8192,300,0.007914797868579626,0.039660251237833434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.6110374227752409,0.7625577134469472,0.3333333333333333,,,20926.5,1034.0,11209.0,0.0,194.92042542048293,411.80371567707664,97.69,134.31029304988382,False,False
Laya,main,RQ1a,pad_8192,300,4.937197081744671e-05,0.0017015138882858158,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.775044515685114,0.25141770536598596,0.49666666666666665,,,20926.5,852.0,nan,0.0,16.284394268743196,697.9026115175656,92.77,7.682141377894083,False,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_8192,300,0.02434930414892733,0.16538000894285812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,0.9533333333333334,0.99,1.0,0.8622688198461631,0.18682491096666867,0.1,,,20926.5,514.0,10870.0,31.0,279.80277730675937,1291.397433723505,108.935,153.42401574429275,False,False
Rule,reference,RQ1a,pad_8192,300,0.0008949178736656904,0.0004559587818763722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,859.9089113477495,57.32726075651664,0.88,,,20926.5,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1a,pad_16384,300,0.05496728071011603,0.5349404893251769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11666666666666667,0.08333333333333333,0.15333333333333332,0.013333333333333334,0.0033333333333333335,0.02666666666666667,1.0,2.073227366143027,1.8935476610772979,0.013333333333333334,,,41749.0,740.0,22709.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_16384,300,0.16999417659826577,0.15494247434626482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.03658333333333341,0.08666666666666667,1.0,1.434129233102993,1.395885786886913,0.0033333333333333335,,,41749.0,937.0,17659.0,25.0,,,,,,False
GLM-5.3-Flash,main,RQ1a,pad_16384,300,0.8289124169386923,2.5460854219071805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.9766666666666667,1.0,0.99,0.9766666666666667,1.0,0.98,0.4724307313607183,0.4440848874790752,0.05,,,41749.0,937.0,17433.0,26.0,,,,,,False
Qwen3.8-Flash,main,RQ1a,pad_16384,300,0.6700896348338574,0.6413796007647966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31889247826153094,0.30613677913106974,0.0,,,41749.0,945.0,21535.0,38.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1a,pad_16384,300,0.015602506464347243,0.03321381702563595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8533445239866327,0.41244985326020583,0.34,,,41749.0,1033.0,21871.5,0.0,378.82265125534934,783.7710025972744,97.69,264.21990712284645,False,False
Laya,main,RQ1a,pad_16384,300,0.0020149967167526484,0.010516643957185486,1.0,1.0,1.0,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.288474576364537,0.12147457627274229,0.5,,,41749.0,852.0,nan,0.0,20.444104962193965,1226.646297731638,92.77,7.756261304374537,False,False
Qwen3.5-4B-JSON,reference,RQ1a,pad_16384,300,0.024314178386703134,0.2194266166225782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6334687011640726,0.11402436620953307,0.12666666666666668,,,41749.0,514.0,21533.0,31.0,444.69955005027055,2470.5530558348364,108.935,272.7013522552967,False,False
Rule,reference,RQ1a,pad_16384,300,0.001776270568370819,0.0016434152956735888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,386.8397954889334,25.789319699262226,0.88,,,41749.0,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1b,k1,300,0.058356532361358404,0.06551131284416405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,0.0,0.0,0.0,1.0,3.5074294625123557,3.3437494209284457,0.0033333333333333335,,,197.5,726.0,819.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1b,k1,300,0.07437547971494496,1.1030526253373028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11666666666666667,0.08333333333333333,0.15333333333333332,0.016666666666666666,0.0033333333333333335,0.03333333333333333,1.0,1.8745433457833107,1.8495494345062,0.0,,,197.5,927.0,251.0,26.0,,,,,,False
GLM-5.3-Flash,main,RQ1b,k1,300,0.1460306979715824,0.17004977826795387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8766666666666667,0.84,0.9133333333333333,0.02666666666666667,0.01,0.04666666666666667,1.0,1.6046215819015832,1.57787788886989,0.006666666666666667,,,197.5,1086.0,252.0,34.0,,,,,,False
Qwen3.8-Flash,main,RQ1b,k1,300,0.30941731249913573,0.592663771991611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9633333333333334,0.9933333333333333,1.0,0.7033855757311068,0.6799393898734032,0.0,,,197.5,924.0,258.0,30.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1b,k1,300,0.001002978882752359,0.017028910138769244,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.02666666666666667,0.01,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.124352372817576,4.820449074538428,0.03666666666666667,,,197.5,1031.0,593.0,0.0,22.28861170150439,37.565075901411895,97.69,10.297815483077368,False,False
Laya,main,RQ1b,k1,300,2.0782114006578922e-05,0.02314457680820954,0.9966666666666667,0.99,1.0,0.02666666666666667,0.01,0.04666666666666667,0.013333333333333334,0.0033333333333333335,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.083537277109055,1.3666829821687243,0.16666666666666666,,,197.5,849.0,nan,0.0,6.582400155536333,82.28000194420416,92.77,1.194009263221422,False,False
Qwen3.5-4B-JSON,reference,RQ1b,k1,300,0.024999831919558346,0.031638329263029195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,1.0,1.3089988904552015,0.5672328525305873,0.02,,,197.5,510.0,256.0,30.0,121.82690866655905,281.13901999975167,108.935,38.553000437247746,False,False
Rule,reference,RQ1b,k1,300,1.169741153717041e-05,2.0857560804436855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48289.37706566551,3219.2918043777004,0.88,,,197.5,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1b,k2,300,0.0507382086943835,0.052936458923096924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.0,0.023333333333333334,0.0,0.0,0.0,1.0,3.48860667356923,3.1281173173004095,0.006666666666666667,,,434.5,1268.5,1420.0,359.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1b,k2,300,0.061384625267237425,0.10336837096992642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14666666666666667,0.11,0.19,0.006666666666666667,0.0,0.016666666666666666,1.0,2.2579488102958596,2.175157353918345,0.0,,,434.5,1057.0,330.0,54.0,,,,,,False
GLM-5.3-Flash,main,RQ1b,k2,300,0.558736833743751,1.1719481280354245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43666666666666665,0.38,0.49333333333333335,0.9533333333333334,0.6874846027815138,0.6324858345589927,0.07,,,434.5,1297.0,331.0,72.0,,,,,,False
Qwen3.8-Flash,main,RQ1b,k2,300,0.5715710306540132,0.6376340407036655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5147354660579194,0.4649777043389872,0.0033333333333333335,,,434.5,1081.5,339.0,76.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1b,k2,300,0.00202632078435272,0.060536574143998115,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.17333333333333334,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.982816507003133,1.695131343650888,0.11333333333333333,,,434.5,1919.0,1190.0,0.0,34.02456206499736,120.08668964116715,97.69,17.73214950081508,False,False
Laya,main,RQ1b,k2,300,0.017748660873621702,0.05361707887530529,1.0,1.0,1.0,0.25,0.20333333333333334,0.3,0.06,0.03333333333333333,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.56321253349285,0.0,0.46,,,434.5,1513.0,nan,0.0,10.456615222815671,,92.77,2.4623150900721553,False,False
Qwen3.5-4B-JSON,reference,RQ1b,k2,300,0.05226434441283345,0.23952759216753847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8295729868095816,0.18527130038747322,0.14666666666666667,,,434.5,634.0,337.0,48.0,194.43316939557394,870.5962808757042,108.935,62.982031079733375,False,False
Rule,reference,RQ1b,k2,300,1.3312557712197304e-05,2.778214918885665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24137.923718859405,321.8389829181254,0.97,,,434.5,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1b,k4,300,0.052587655605748296,0.061496708934189286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013333333333333334,0.0033333333333333335,0.02666666666666667,0.0,0.0,0.0,1.0,3.436613191649616,2.9211212129021735,0.013333333333333334,,,861.0,2344.0,2583.5,715.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1b,k4,300,0.05909596965648234,0.0870810610773446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5066666666666667,0.45,0.5633333333333334,0.0033333333333333335,0.0,0.01,1.0,1.9301366049321598,1.8143284086362303,0.006666666666666667,,,861.0,1295.0,421.0,101.0,,,,,,False
GLM-5.3-Flash,main,RQ1b,k4,300,0.3885510414838791,0.6124813357323792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7166666666666667,0.6666666666666666,0.7666666666666667,1.0,0.7892660772279614,0.7366483387460974,0.043333333333333335,,,861.0,1682.0,421.0,137.0,,,,,,False
Qwen3.8-Flash,main,RQ1b,k4,300,0.616266073891893,0.5087620529680451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3877496683452914,0.3593146926666367,0.01,,,861.0,1338.0,430.0,140.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1b,k4,300,0.08806545252446085,0.07581104911414965,1.0,1.0,1.0,1.0,1.0,1.0,0.37666666666666665,0.3233333333333333,0.43333333333333335,0.01,0.0,0.023333333333333334,0.0,0.0,0.0,1.0,4.268901199465027,0.19921538930836794,0.31666666666666665,,,861.0,3687.0,2344.0,0.0,57.13034224003951,1224.221619429418,97.69,34.255577480204906,False,False
Laya,main,RQ1b,k4,300,0.08229372464120388,0.04827843931337234,1.0,1.0,1.0,0.31,0.26,0.36333333333333334,0.05,0.02666666666666667,0.07666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.619462206503144,0.0,0.55,,,861.0,2845.0,nan,0.0,17.175060428464413,,92.77,7.581405516954263,False,False
Qwen3.5-4B-JSON,reference,RQ1b,k4,300,0.07590383570641279,0.3344976222459783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45071221600566924,0.02403798485363569,0.31666666666666665,,,861.0,862.5,428.0,91.0,358.3394480949521,6718.864651780352,108.935,116.57782389356692,False,False
Rule,reference,RQ1b,k4,300,2.0051375031471252e-05,2.7843608629122602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13238.766164312372,0.0,1.0,,,861.0,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ1b,k8,300,0.04754126979969442,0.049796409686428234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,3.297364677814801,2.363111352433941,0.03,,,1750.5,4482.5,4910.0,1427.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ1b,k8,300,0.2998959587421268,0.7868964601167079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.23,0.33,1.0,0.9691949415800282,0.8593528482009583,0.01,,,1750.5,1761.0,601.0,196.0,,,,,,False
GLM-5.3-Flash,main,RQ1b,k8,300,0.5523716663010418,0.7836956568556909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.9666666666666667,0.9966666666666667,1.0,0.5768267657516832,0.4999165303181255,0.06333333333333334,,,1750.5,2295.0,600.0,262.0,,,,,,False
Qwen3.8-Flash,main,RQ1b,k8,300,0.9772086776793003,0.8553101765549559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2538836944074725,0.22341765107857578,0.01,,,1750.5,1812.0,612.5,215.0,,,,,,False
SemIf-Qwen3.5-4B,main,RQ1b,k8,300,0.10601249802857637,0.22581510375990924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18333333333333332,0.14,0.22666666666666666,0.02666666666666667,0.01,0.04666666666666667,1.0,2.2429045839163986,0.007476348613054662,0.67,,,1750.5,7224.5,4649.5,0.0,109.63384547359945,32890.15364207984,97.69,66.13997806883654,False,False
Laya,main,RQ1b,k8,300,0.053978287149220705,0.0329161864861337,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.14333333333333334,0.10333333333333333,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.084307061147281,0.0,0.52,,,1750.5,5512.0,nan,0.0,40.69675521835486,,92.77,25.347031014815965,False,False
Qwen3.5-4B-JSON,reference,RQ1b,k8,300,0.1769129029707983,0.893804555028435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2207945411666614,0.004415890823333228,0.37333333333333335,,,1750.5,1318.5,610.5,178.0,731.884314301908,36594.2157150954,108.935,238.36954768736362,False,False
Rule,reference,RQ1b,k8,300,2.7687055990099907e-05,3.110318670892547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6923.469363213288,0.0,1.0,,,1750.5,11.0,0.0,0.0,,,,,,False
Jev-1.13.0,main,RQ2,clean,300,0.06415739632211626,0.06824324465781974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006666666666666667,0.0,0.016666666666666666,0.0033333333333333335,0.0,0.01,1.0,3.501115670248638,3.3260598867362057,0.0033333333333333335,,,186.5,728.5,815.0,181.0,,,,,,False
DeepSeek-V4.1-Flash,main,RQ2,clean,300,0.10431910352781415,0.18351668590252143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.14666666666666667,0.23666666666666666,0.016666666666666666,0.0033333333333333335,0.03333333333333333,1.0,2.2203121544177256,2.1907079923588224,0.0033333333333333335,,,186.5,927.0,247.0,26.0,,,,,,False
GLM-5.3-Flash,main,RQ2,clean,300,0.4428897500038147,0.8358971748758836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9633333333333334,0.9933333333333333,0.2633333333333333,0.21333333333333335,0.31333333333333335,1.0,0.9367142399622869,0.9304694783625383,0.0033333333333333335,,,186.5,1115.0,248.0,35.0,,,,,,False
Qwen3.8-Flash,main,RQ2,clean,300,0.6894001874607056,1.7849285441401428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,0.99,1.0,0.9966666666666667,0.51339607534533,0.4928602323315168,0.0033333333333333335,,,186.5,925.0,254.0,30.0,,,,,,False
